anime_id,name,genre,type,episodes,rating,members
32281,kimi no na wa,"Drama, Romance, School, Supernatural",Movie,1,9.37,200630
5114,fullmetal alchemist brotherhood,"Action, Adventure, Drama, Fantasy, Magic, Military, Shounen",TV,64,9.26,793665
28977,gintama,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",TV,51,9.25,114262
9253,steinsgate,"Sci-Fi, Thriller",TV,24,9.17,673572
9969,gintama,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",TV,51,9.16,151266
32935,haikyuu karasuno koukou vs shiratorizawa gakuen koukou,"Comedy, Drama, School, Shounen, Sports",TV,10,9.15,93351
11061,hunter x hunter 211,"Action, Adventure, Shounen, Super Power",TV,148,9.13,425855
820,ginga eiyuu densetsu,"Drama, Military, Sci-Fi, Space",OVA,110,9.11,80679
15335,gintama movie kanketsuhen  yorozuya yo eien nare,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",Movie,1,9.1,72534
15417,gintama enchousen,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",TV,13,9.11,81109
4181,clannad after story,"Drama, Fantasy, Romance, Slice of Life, Supernatural",TV,24,9.06,456749
28851,koe no katachi,"Drama, School, Shounen",Movie,1,9.05,102733
918,gintama,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",TV,201,9.04,336376
2904,code geass hangyaku no lelouch r2,"Action, Drama, Mecha, Military, Sci-Fi, Super Power",TV,25,8.98,572888
28891,haikyuu second season,"Comedy, Drama, School, Shounen, Sports",TV,25,8.93,179342
199,sen to chihiro no kamikakushi,"Adventure, Drama, Supernatural",Movie,1,8.93,466254
23273,shigatsu wa kimi no uso,"Drama, Music, Romance, School, Shounen",TV,22,8.92,416397
24701,mushishi zoku shou 2nd season,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",TV,10,8.88,75894
12355,ookami kodomo no ame to yuki,"Fantasy, Slice of Life",Movie,1,8.84,226193
1575,code geass hangyaku no lelouch,"Action, Mecha, Military, School, Sci-Fi, Super Power",TV,25,8.83,715151
263,hajime no ippo,"Comedy, Drama, Shounen, Sports",TV,75,8.83,157670
44,rurouni kenshin meiji kenkaku romantan  tsuiokuhen,"Action, Drama, Historical, Martial Arts, Romance, Samurai",OVA,4,8.83,129307
1,cowboy bebop,"Action, Adventure, Comedy, Drama, Sci-Fi, Space",TV,26,8.82,486824
30276,one punch man,"Action, Comedy, Parody, Sci-Fi, Seinen, Super Power, Supernatural",TV,12,8.82,552458
164,mononoke hime,"Action, Adventure, Fantasy",Movie,1,8.81,339556
7311,suzumiya haruhi no shoushitsu,"Comedy, Mystery, Romance, School, Sci-Fi, Supernatural",Movie,1,8.81,240297
17074,monogatari series second season,"Comedy, Mystery, Romance, Supernatural, Vampire",TV,26,8.8,205959
21939,mushishi zoku shou,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",TV,10,8.8,101351
457,mushishi,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",TV,26,8.78,300030
2001,tengen toppa gurren lagann,"Action, Adventure, Comedy, Mecha, Sci-Fi",TV,27,8.78,562962
245,great teacher onizuka,"Comedy, Drama, School, Shounen, Slice of Life",TV,43,8.77,268487
32983,natsume yuujinchou go,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",TV,13,8.76,38865
5258,hajime no ippo new challenger,"Comedy, Drama, Shounen, Sports",TV,26,8.75,88995
28957,mushishi zoku shou suzu no shizuku,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",Movie,1,8.75,32266
11665,natsume yuujinchou shi,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",TV,13,8.75,98431
431,howl no ugoku shiro,"Adventure, Drama, Fantasy, Romance",Movie,1,8.74,333186
11741,fatezero 2nd season,"Action, Fantasy, Supernatural, Thriller",TV,12,8.73,340973
31757,kizumonogatari ii nekketsuhen,"Action, Mystery, Supernatural, Vampire",Movie,1,8.73,34347
19,monster,"Drama, Horror, Mystery, Police, Psychological, Seinen, Thriller",TV,74,8.72,247562
12365,bakuman rd season,"Comedy, Drama, Romance, Shounen",TV,25,8.71,133620
1535,death note,"Mystery, Police, Psychological, Supernatural, Thriller",TV,37,8.71,1013917
32366,gintama aizome kaorihen,"Comedy, Parody",OVA,2,8.69,16947
30654,ansatsu kyoushitsu tv 2nd season,"Action, Comedy, School, Shounen",TV,25,8.68,176475
20583,haikyuu,"Comedy, Drama, School, Shounen, Sports",TV,25,8.68,284498
19647,hajime no ippo rising,"Comedy, Drama, Shounen, Sports",TV,25,8.68,66756
4282,kara no kyoukai 5 mujun rasen,"Action, Drama, Mystery, Romance, Supernatural, Thriller",Movie,1,8.68,111074
10379,natsume yuujinchou san,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",TV,13,8.67,102322
22135,ping pong the animation,"Psychological, Seinen, Sports",TV,11,8.67,97187
21329,mushishi special hihamukage,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",Special,1,8.66,49036
31043,boku dake ga inai machi,"Mystery, Psychological, Seinen, Supernatural",TV,12,8.65,402381
